latitude,longitude,area_in_meters,confidence,full_plus_code,Country,Province,State,StateDistrict,County,Town,City,Suburb,Type,AddressType,Amenity,OSM_Type,OSM_ID,Building_material,Roof_materials,Surface,Elevation,geometry,height_net,height_gross,vol_2025,vol_2030,pop_2025,pop_2030
-14.01941565,33.70742804,73.4248,0.9073,5GQMXPJ4+6XM8,,,,,,,,,,,,,,,,,1095,POINT (33.70742804 -14.01941565),5.8919358253479,1.7693835496902466,17723.0,17723.0,39.08060836791992,47.53282928466797
-16.11470001,33.74702532,90.9826,0.9007,5GMMVPPW+4R6X,Moçambique,,Tete,Moatize,,Moatize,,,residential,road,,way,596954981.0,,,,179,POINT (33.74702532 -16.11470001),8.976034164428711,3.2869338989257812,32843.0,32843.0,155.7191619873047,193.46633911132812
-15.79567394,35.07796744,139.9442,0.9086,5GPQ633H+P5P5,,,,,,,,,,,,,,,,,1222,POINT (35.07796744 -15.79567394),2.5,0.0921349972486496,928.0,928.0,1.9897217750549316,2.3603198528289795
-15.08099275,35.24539668,143.7749,0.9229,5GPQW69W+J528,,,,,,,,,,,,,,,,,497,POINT (35.24539668 -15.08099275),2.5,0.20401999354362488,3073.0,3073.0,11.17892837524414,13.587688446044922
-15.76739767,35.2129722,56.4261,0.9003,5GPQ66M7+25X2,,,,,,,,,,,,,,,,,909,POINT (35.2129722 -15.76739767),2.5,0.053895000368356705,565.0,565.0,4.83430290222168,4.713181495666504
-15.24221091,34.89321061,89.3392,0.9105,5GPPQV5V+478G,,,,,,,,,,,,,,,,,577,POINT (34.89321061 -15.24221091),2.5,0.07419999688863754,773.0,773.0,1.6844791173934937,1.754980206489563
-13.98654053,33.84299471,126.2126,0.9065,5GRM2R7V+95Q9,,,,,,,,,,,,,,,,,1113,POINT (33.84299471 -13.98654053),5.314845561981201,1.0482789278030396,10497.0,10497.0,4.369178771972656,5.317028045654297
-14.48507306,35.2634007,207.2226,0.9103,5GQQG777+X9C5,,,,,,,,,,,,,,,,,482,POINT (35.2634007 -14.48507306),6.959527015686035,1.1914571523666382,11936.0,11936.0,26.47007942199707,29.690996170043945
-15.76296976,34.99611678,241.9697,0.929,5GPP6XPW+RC98,,,,,,,,,,,,,,,,,944,POINT (34.99611678 -15.76296976),6.180817127227783,1.4557431936264038,14556.0,14556.0,13.40573501586914,15.747906684875488
-15.44956331,34.4752316,169.6204,0.9133,5GPPHF2G+53HF,,,,,,,,,,,,,,,,,1058,POINT (34.4752316 -15.44956331),2.5,0.6122375130653381,6125.0,6125.0,25.860490798950195,28.779264450073242
